Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
1000000,-17.90034054,0.1273453154,-70.31621003,-70.31621003,-0.466306663,0.9477300842,-91.91219591,-91.91219591,-0.5669315473,0.9368141085,-92.19282308,-92.19282308,-17.75951203,0.1294268551,-68.10234425,-68.10234425,
1487781,-20.02066989,0.09976231207,-142.6429971,-142.6429971,-0.7812393998,0.9139828149,-135.0242657,-135.0242657,-0.7976917992,0.9122532306,-134.71101,-134.71101,-20.27628725,0.09686918319,-141.3160811,-141.3160811,
1975562,-23.22374931,0.06899419221,129.4050377,-230.5949623,-0.8629101355,0.9054291935,-177.3854873,-177.3854873,-0.8572020049,0.9060244125,-177.1062576,-177.1062576,-23.55204968,0.06643508824,130.1445947,-229.8554053,
2463343,-23.92105937,0.06367178593,30.23547306,-329.7645269,-0.9012260348,0.9014438876,139.5699877,-220.4300123,-0.8973551505,0.9018457074,139.6929024,-220.3070976,-24.1600085,0.06194404692,34.19158798,-325.808412,
2951124,-22.74370334,0.07291465627,-51.6454309,-411.6454309,-1.031540368,0.8880204796,96.39314609,-263.6068539,-1.040976351,0.8870562955,96.45059127,-263.5494087,-23.74520934,0.06497398939,-45.00255254,-405.0025525,
3438905,-22.979139,0.0709648109,-121.220553,-481.220553,-1.169215893,0.8740558933,53.69277656,-306.3072234,-1.187821439,0.8721856321,53.88808237,-306.1119176,-25.11757793,0.05547803925,-116.7726317,-476.7726317,
3926686,-25.4767974,0.05323044907,168.395588,-551.604412,-1.245529549,0.8664101323,11.23344901,-348.766551,-1.249594159,0.8660047858,11.45386351,-348.5461365,-28.49881217,0.03758888051,161.2765441,-558.7234559,
4414467,-29.64705577,0.03293420705,82.56526601,-637.434734,-1.299953081,0.860998403,-31.55039099,-391.550391,-1.294508261,0.861538296,-31.40176866,-391.4017687,-30.39552916,0.03021506565,61.22855844,-658.7714416,
4902248,-30.60761774,0.02948622078,-21.63788839,-741.6378884,-1.392671872,0.851856431,-74.41829909,-434.4182991,-1.39338616,0.8517863811,-74.31614253,-434.3161425,-29.39624461,0.03389906888,-23.81778475,-743.8177848,
5390029,-29.5259866,0.03339647812,-102.1144782,-822.1144782,-1.496843932,0.841700923,-117.0018432,-477.0018432,-1.500694773,0.8413278422,-116.8651194,-476.8651194,-30.43800283,0.03006767576,-92.12546506,-812.1254651,
5877810,-31.4146949,0.0268698508,-168.6948618,-888.6948618,-1.559605101,0.8356410093,-159.4560175,-519.4560175,-1.557733003,0.8358211372,-159.3359421,-519.3359421,-35.95811415,0.0159255446,-162.8130136,-882.8130136,
6365591,-39.00175251,0.01121792093,118.2836372,-961.7163628,-1.608759013,0.8309254277,157.8492215,-562.1507785,-1.607125506,0.83108171,157.9430361,-562.0569639,-44.02267189,0.006293125685,49.45232922,-1030.547671,
6853372,-41.23920037,0.008670416927,-56.70554412,-776.7055441,-1.685557152,0.8236110077,115.1261698,-604.8738302,-1.687737104,0.8234043268,115.198369,-604.801631,-36.75702843,0.01452608492,-52.29404332,-1132.294043,
7341153,-35.64541094,0.01650933016,-124.1629859,-844.1629859,-1.766862825,0.8159374347,72.57185155,-647.4281484,-1.768115004,0.8158198156,72.65532892,-647.3446711,-37.09863282,0.01396588169,-109.3031735,-1189.303173,
7828934,-36.75439383,0.01453049163,-170.7349667,-890.7349667,-1.818438748,0.8111068378,30.01685336,-689.9831466,-1.81659632,0.8112789059,30.12699873,-689.8730013,-44.82089005,0.005740576353,-157.2615785,-1237.261579,
8316715,-45.55688959,0.005274186958,153.847999,-926.152001,-1.864533309,0.8068138309,-12.67105516,-732.6710552,-1.861599083,0.8070864309,-12.57129072,-732.5712907,-45.62472477,0.005233156968,-27.67914942,-1107.679149,
8804496,-43.5707124,0.006629249739,-97.37192803,-817.371928,-1.930354058,0.8007229885,-55.37637711,-775.3763771,-1.929197334,0.80082963,-55.26374722,-775.2637472,-37.30922706,0.01363134304,-71.01472398,-1151.014724,
9292277,-36.57267545,0.01483768776,-133.7072578,-853.7072578,-1.998936017,0.7944255424,-97.92215833,-817.9221583,-2.001865081,0.7941576906,-97.76833792,-817.7683379,-36.05368338,0.01575127925,-116.6696509,-1196.669651,
9780058,-36.61440008,0.0147665825,-177.8435047,-897.8435047,-2.048125097,0.7899393443,-140.377313,-860.377313,-2.047365529,0.7900084263,-140.2378495,-860.2378495,-39.39889998,0.01071655016,-165.9046865,-1245.904686,
