Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Unwrapped Phase,
100000,-17.17266985,0.1384734483,-5.090963844,-4.988959874,0.5630565388,-25.80585627,-4.137273409,0.621063962,-23.20106917,-14.08438329,0.1975972224,-12.70488934,
12099800,-35.97759205,0.01588987195,-114.9150829,-10.2582295,0.306964763,59.22878052,-10.24722996,0.3073537399,60.38272615,-35.84692219,0.01613072512,-101.5145469,
24099600,-42.32087961,0.007655190801,-153.8173774,-12.56166836,0.2354596977,157.6400496,-12.54284811,0.2359704356,159.053174,-42.70684577,0.007322471866,-126.4456882,
36099400,-41.41686682,0.008494868474,-133.3241549,-14.8320831,0.1812991822,259.6301606,-14.80803217,0.181801889,261.0723405,-42.13148081,0.007823948073,-137.9542318,
48099200,-41.32816185,0.008582067136,-179.7960424,-17.04431445,0.1405349287,365.4171949,-17.02631309,0.1408264869,366.9276247,-41.66368455,0.008256876186,-149.7566457,
60099000,-39.20167663,0.01096266564,-171.5718663,-19.14434834,0.1103526033,474.1597055,-19.12757455,0.1105659171,475.7792814,-41.7401983,0.008184461024,-151.5906255,
72098800,-37.76842196,0.0129294158,-181.2446228,-21.15048964,0.08759423373,584.7613556,-21.13058774,0.08779516778,586.4153833,-42.18168403,0.007778857187,-174.8149947,
84098600,-38.69502887,0.01162113527,-183.1307907,-23.02821668,0.07056497079,696.9573032,-23.01216507,0.07069549613,698.484023,-41.08563631,0.008825070519,-181.9625027,
96098400,-39.56546822,0.01051299818,-175.8704344,-24.6490828,0.05855255623,810.8699098,-24.6345607,0.05865053327,812.5378193,-40.78082824,0.009140260808,-157.5426625,
108098200,-41.19524603,0.008714404173,-202.0904033,-26.46589013,0.0475012998,925.1886326,-26.4493548,0.04759181415,926.9091363,-39.48518037,0.01061062538,-192.4504679,
120098000,-41.71654555,0.008206778696,-233.4917554,-28.01609516,0.03973701515,1040.872437,-27.99037257,0.03985486766,1042.528688,-38.55778482,0.01180621693,-204.1152841,
132097800,-40.19367299,0.00977949323,-251.0838784,-29.60569632,0.03309140324,1156.951301,-29.58363703,0.03317555131,1158.677109,-38.37330618,0.01205964965,-183.3227094,
