Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
1000000,-25.01543249,0.05613430831,-41.22529329,-41.22529329,-5.039323045,0.5598012292,168.993573,168.993573,-5.096960777,0.5560988042,169.7830772,169.7830772,-24.51736916,0.05944721889,-41.62993224,-41.62993224,
1487781,-18.45054862,0.1195288026,-71.92913185,-71.92913185,-5.778402102,0.5141382262,84.38914665,84.38914665,-5.736572362,0.5166201984,85.16645371,85.16645371,-18.4754411,0.1191867411,-71.04636082,-71.04636082,
1975562,-29.33912654,0.03412272238,-85.15661326,-85.15661326,-6.382094535,0.4796177786,0.2392423292,0.2392423292,-6.349548792,0.4814182617,1.02508309,1.02508309,-28.7219046,0.03663572329,-81.73096811,-81.73096811,
2463343,-22.48756382,0.07509686527,-67.0876145,-67.0876145,-6.818798861,0.4560999839,-84.04402077,-84.04402077,-6.799423095,0.4571185498,-83.25983436,-83.25983436,-22.32166619,0.07654497586,-66.32040377,-66.32040377,
2951124,-28.6755529,0.03683175007,-102.6813676,-102.6813676,-7.223691408,0.4353268252,-168.0776063,-168.0776063,-7.212839943,0.4358710281,-167.2505842,-167.2505842,-28.13988311,0.03917471492,-100.7761792,-100.7761792,
3438905,-26.10388264,0.04952287714,-66.57035605,-66.57035605,-7.547677462,0.4193881228,108.0178133,-251.9821867,-7.543254573,0.4196017312,108.8347531,-251.1652469,-26.01710671,0.05002011256,-65.26327494,-65.26327494,
3926686,-28.6392374,0.0369860651,-106.6279136,-106.6279136,-7.837589079,0.4056211071,24.12491981,-335.8750802,-7.833317774,0.4058206212,24.99097794,-335.0090221,-28.36089149,0.03819050715,-102.6720539,-102.6720539,
4414467,-30.06503924,0.03138687212,-68.96596215,-68.96596215,-8.076882068,0.3945989239,-59.66839931,-419.6683993,-8.069047879,0.3949549908,-58.784683,-418.784683,-29.5691817,0.03323080908,-68.4228404,-68.4228404,
4902248,-29.76508966,0.0324896862,-101.5909943,-101.5909943,-8.308388861,0.3842205213,-143.5446585,-503.5446585,-8.303309387,0.3844452777,-142.6274444,-502.6274444,-28.97676839,0.03557636568,-101.3144455,-101.3144455,
5390029,-32.77425836,0.02297666976,-72.719929,-72.719929,-8.503796662,0.3756731591,132.6457306,-587.3542694,-8.499336966,0.3758660948,133.5698315,-586.4301685,-32.85441543,0.02276560669,-76.11165458,-76.11165458,
5877810,-30.66488293,0.02929246055,-97.47677472,-97.47677472,-8.698352893,0.3673519549,48.7991926,-671.2008074,-8.693172302,0.3675711228,49.76382699,-670.236173,-30.30117929,0.03054506371,-93.80311085,-93.80311085,
6365591,-33.77868351,0.02046754832,-81.56387917,-81.56387917,-8.840419717,0.3613923991,-34.87649042,-754.8764904,-8.832046738,0.3617409402,-33.89778376,-753.8977838,-34.20121218,0.01949572503,-85.37044242,-85.37044242,
6853372,-31.7017286,0.02599642149,-95.12168439,-95.12168439,-9.004095646,0.354646124,-118.8177284,-838.8177284,-8.997725343,0.3549063198,-117.8044341,-837.8044341,-31.55404544,0.02644220865,-92.04164181,-92.04164181,
7341153,-34.13436522,0.01964634377,-93.56292644,-93.56292644,-9.153256352,0.3486078661,157.344034,-922.655966,-9.145290793,0.3489277101,158.3655008,-921.6344992,-33.55659815,0.020997621,-92.19083573,-92.19083573,
7828934,-32.8647758,0.02273846848,-102.1520114,-102.1520114,-9.276605476,0.3436922397,73.46451744,-1006.535483,-9.269314392,0.3439808619,74.52287799,-1005.477122,-32.52496185,0.02364568542,-101.6655749,-101.6655749,
8316715,-36.17859347,0.01552638412,-104.064608,-104.064608,-9.399455808,0.3388653862,-10.43954893,-1090.439549,-9.387733352,0.3393230269,-9.344826067,-1089.344826,-35.53920732,0.01671243127,-102.5945943,-102.5945943,
8804496,-34.28872797,0.01930027963,-102.4502587,-102.4502587,-9.521465875,0.3341386443,-94.33341744,-1174.333417,-9.512001529,0.3345029279,-93.21090817,-1173.210908,-33.7891242,0.02044296052,-98.85334726,-98.85334726,
