Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
1000000,-19.8695709,0.1015129515,112.644984,112.644984,-0.2044975209,0.9767313422,0.2686430988,0.2686430988,-0.1392305912,0.9840982748,0.9971523017,0.9971523017,-20.46849976,0.09474908221,110.4795052,110.4795052,
1487781,-20.814427,0.09104972744,118.0435378,118.0435378,-0.1669307937,0.9809648824,0.05005393691,0.05005393691,-0.1126886504,0.9871100361,0.7461998569,0.7461998569,-21.47589578,0.08437333413,117.3422015,117.3422015,
1975562,-21.59273815,0.08324594594,124.5784806,124.5784806,-0.1478553366,0.983121589,-0.02351919727,-0.02351919727,-0.1018251101,0.9883453982,0.6142059272,0.6142059272,-22.32243228,0.07653822497,125.037913,125.037913,
2463343,-22.32329003,0.076530667,131.079717,131.079717,-0.135971611,0.9844675816,-0.0133520387,-0.0133520387,-0.09845516162,0.9887289305,0.5685165797,0.5685165797,-22.994856,0.07083651718,132.686323,132.686323,
2951124,-23.07294374,0.07020253798,137.1025951,137.1025951,-0.1281027768,0.9853598474,0.002851336913,0.002851336913,-0.1003889495,0.9885088288,0.5804528432,0.5804528432,-23.68465617,0.06542853431,139.4107046,139.4107046,
3438905,-23.85155949,0.06418329749,142.5193936,142.5193936,-0.1307713993,0.9850571554,0.07460981226,0.07460981226,-0.1010833936,0.9884297998,0.6302400572,0.6302400572,-24.42749603,0.06006551409,145.787707,145.787707,
3926686,-24.83164574,0.05733472224,147.4817147,147.4817147,-0.1278778175,0.985385368,0.1543075859,0.1543075859,-0.1039806265,0.9881001578,0.6920951974,0.6920951974,-25.31324669,0.05424224616,151.3063972,151.3063972,
4414467,-25.95800712,0.05036161447,151.6401043,151.6401043,-0.1299347682,0.9851520414,0.2355365605,0.2355365605,-0.1061479344,0.9878536373,0.7451510788,0.7451510788,-26.37538441,0.04799884416,156.5490314,156.5490314,
4902248,-27.31994313,0.04305294294,155.2252788,155.2252788,-0.1322357545,0.9848910985,0.2928839152,0.2928839152,-0.1105291986,0.9873554781,0.7804483346,0.7804483346,-27.69081491,0.04125335313,161.2676213,161.2676213,
5390029,-28.98718368,0.03553373145,157.5139329,157.5139329,-0.1318110568,0.984939256,0.3674808379,0.3674808379,-0.1132256044,0.9870490157,0.8235047191,0.8235047191,-29.33174357,0.03415173892,165.039107,165.039107,
5877810,-31.0562634,0.0280018568,157.883902,157.883902,-0.1346508156,0.9846172933,0.3805994067,0.3805994067,-0.116197798,0.9867113187,0.8260658928,0.8260658928,-31.41521162,0.02686825236,167.6938387,167.6938387,
6365591,-33.77434999,0.02047776245,154.5673658,154.5673658,-0.133729093,0.9847217837,0.4030640677,0.4030640677,-0.1192194158,0.9863681247,0.8244158719,0.8244158719,-34.18487645,0.01953242555,168.5848241,168.5848241,
6853372,-37.1474363,0.01388763153,141.4942834,141.4942834,-0.1321171741,0.9849045444,0.437594802,0.437594802,-0.1188828754,0.9864063429,0.8492154931,0.8492154931,-38.32585558,0.01212571121,162.48983,162.48983,
7341153,-38.56017029,0.01180297495,127.163975,127.163975,-0.1305561929,0.985081562,0.4675249112,0.4675249112,-0.1207347838,0.9861960547,0.8686648181,0.8686648181,-40.85837286,0.009059022886,151.4603018,151.4603018,
7828934,-38.29190199,0.01217320401,124.945444,124.945444,-0.1310773413,0.9850224594,0.4639936559,0.4639936559,-0.121953897,0.9860576463,0.8806862386,0.8806862386,-40.59967749,0.009332889535,148.5571426,148.5571426,
8316715,-38.13223741,0.01239904196,123.194106,123.194106,-0.1329237769,0.9848130869,0.4640882732,0.4640882732,-0.1223208947,0.9860159841,0.8828370805,0.8828370805,-40.44528643,0.009500264096,145.9082692,145.9082692,
8804496,-38.00696669,0.01257916071,121.8023111,121.8023111,-0.1328436583,0.9848221708,0.4562991284,0.4562991284,-0.1222291335,0.9860264008,0.8855513889,0.8855513889,-40.33696272,0.00961948593,142.8783292,142.8783292,
9292277,-37.92086591,0.01270447446,119.7495697,119.7495697,-0.1321542533,0.9849003399,0.4631468442,0.4631468442,-0.1236248523,0.9858679709,0.9008883447,0.9008883447,-40.27437041,0.009689056296,140.6578825,140.6578825,
9780058,-37.78712788,0.01290160098,117.9426586,117.9426586,-0.132867206,0.9848195009,0.5181244443,0.5181244443,-0.1249524271,0.9857172997,0.938580493,0.938580493,-40.24121241,0.009726114538,138.5778353,138.5778353,
10267839,-37.679581,0.01306233899,116.667559,116.667559,-0.1320356473,0.9849137888,0.5211780235,0.5211780235,-0.1252958409,0.9856783282,0.9629051281,0.9629051281,-40.18247215,0.009792112453,136.1630606,136.1630606,
10755620,-37.56187558,0.01324055596,115.1390652,115.1390652,-0.1325552648,0.9848548699,0.5169047221,0.5169047221,-0.1259120321,0.985608405,0.9651225073,0.9651225073,-40.08908393,0.009897962488,134.2477087,134.2477087,
11243401,-37.54345269,0.01326866916,113.6607511,113.6607511,-0.1316045858,0.9849626691,0.5217296711,0.5217296711,-0.1253341348,0.9856739826,0.9672613231,0.9672613231,-39.99636167,0.01000418965,132.4527056,132.4527056,
11731182,-37.5018997,0.01333229809,112.3910869,112.3910869,-0.130526943,0.9850848793,0.5084163089,0.5084163089,-0.1259454628,0.9856046116,0.9460543957,0.9460543957,-39.93400421,0.01007626985,130.9345002,130.9345002,
12218963,-37.42450351,0.01345162725,111.1515399,111.1515399,-0.131741101,0.9849471887,0.524345682,0.524345682,-0.12660553,0.9855297153,0.9426439237,0.9426439237,-39.8980925,0.0101180163,128.9784205,128.9784205,
12706744,-37.37142723,0.01353407685,109.6373885,109.6373885,-0.1318501849,0.9849348191,0.5239594747,0.5239594747,-0.1271714376,0.9854655077,0.9764391039,0.9764391039,-39.88372866,0.0101347623,127.5528409,127.5528409,
13194525,-37.3337798,0.01359286521,108.5943301,108.5943301,-0.1303236519,0.9851079352,0.5279228143,0.5279228143,-0.127211039,0.9854610147,0.9873235309,0.9873235309,-39.97628188,0.01002734381,125.537136,125.537136,
13682306,-37.32376913,0.01360854029,107.2620511,107.2620511,-0.131239766,0.9850040399,0.5274340055,0.5274340055,-0.1278227688,0.9853916131,0.9780017348,0.9780017348,-40.02189508,0.009974824097,124.3326945,124.3326945,
14170087,-37.35385431,0.01356148613,105.9093465,105.9093465,-0.1313657113,0.9849897574,0.5184060886,0.5184060886,-0.1281555713,0.9853538582,0.9745804507,0.9745804507,-40.02401884,0.009972385484,122.8932762,122.8932762,
14657869,-37.3468245,0.01357246639,104.417155,104.417155,-0.1322182367,0.9848930848,0.5178954965,0.5178954965,-0.1266724477,0.9855221227,0.9827534007,0.9827534007,-40.03068422,0.009964735808,121.2082123,121.2082123,
15145650,-37.34730134,0.01357172131,102.8503993,102.8503993,-0.1309126856,0.9850411324,0.5235409127,0.5235409127,-0.1280395347,0.9853670218,0.9704664703,0.9704664703,-40.13366404,0.009847291586,119.3261309,119.3261309,
15633431,-37.383958,0.01351456589,101.8483436,101.8483436,-0.1318397812,0.9849359988,0.5146149946,0.5146149946,-0.1264922769,0.9855425655,0.9735073355,0.9735073355,-40.27831167,0.009684660851,118.0478582,118.0478582,
16121212,-37.41332727,0.01346894676,100.5021145,100.5021145,-0.1306835099,0.9850671229,0.509769176,0.509769176,-0.1265590092,0.9855349937,0.9760621165,0.9760621165,-40.3841782,0.009567337397,116.5621358,116.5621358,
16608993,-37.44358687,0.01342210576,99.08264418,99.08264418,-0.1305079859,0.9850870293,0.4923744876,0.4923744876,-0.1262623269,0.9855686571,0.9583305699,0.9583305699,-40.40447044,0.009545011988,114.886363,114.886363,
17096774,-37.44097389,0.01342614414,97.95322765,97.95322765,-0.1301841993,0.9851237513,0.4899517922,0.4899517922,-0.1265082919,0.9855407483,0.9314006506,0.9314006506,-40.53172679,0.009406188122,113.1422288,113.1422288,
17584555,-37.50940893,0.01332077686,96.13912708,96.13912708,-0.1299529987,0.9851499737,0.4974316399,0.4974316399,-0.1265144734,0.985540047,0.9306882158,0.9306882158,-40.56894206,0.009365972909,111.8580018,111.8580018,
18072336,-37.57703929,0.01321746094,94.42421864,94.42421864,-0.1300072864,0.9851438164,0.4957649821,0.4957649821,-0.1264647869,0.9855456846,0.913543418,0.913543418,-40.63669726,0.009293196857,110.0120367,110.0120367,
18560117,-37.62026355,0.01315184926,93.41272159,93.41272159,-0.1291362826,0.9852426096,0.4765060265,0.4765060265,-0.1261401402,0.9855825214,0.9058465688,0.9058465688,-40.71135558,0.009213660831,108.2955238,108.2955238,
19047898,-37.65456505,0.01310001363,92.21493433,92.21493433,-0.1293700931,0.9852160888,0.4777249648,0.4777249648,-0.1252514567,0.9856833649,0.8891443073,0.8891443073,-40.79700532,0.009123253319,107.0354127,107.0354127,
